"Piezo Voltage (V)";"Fine In 1 (V)";
77.018723;3.191152;
77.057938;3.190425;
77.097145;3.190016;
77.136360;3.189633;
77.175568;3.189231;
77.214767;3.188886;
77.253983;3.188479;
77.293159;3.188180;
77.332367;3.187780;
77.371574;3.187429;
77.410789;3.187056;
77.449997;3.186579;
77.489212;3.186164;
77.528412;3.185755;
77.567589;3.185304;
77.606796;3.184916;
77.646004;3.184442;
77.685219;3.183983;
77.724426;3.183534;
77.763641;3.182977;
77.802841;3.182514;
77.842018;3.182037;
77.881226;3.181569;
77.920441;3.181046;
77.959648;3.180497;
77.998856;3.180017;
78.038071;3.179487;
78.077271;3.178972;
78.116447;3.178410;
78.155655;3.177869;
78.194870;3.177341;
78.234077;3.176774;
78.273293;3.176243;
78.312500;3.175795;
78.351715;3.175260;
78.390892;3.174720;
78.430084;3.174184;
78.469299;3.173679;
78.508507;3.173213;
78.547722;3.172749;
78.586929;3.172169;
78.626144;3.171671;
78.665306;3.171183;
78.704521;3.170772;
78.743729;3.170356;
78.782944;3.169900;
78.822151;3.169472;
78.861359;3.169078;
78.900574;3.168664;
78.939735;3.168165;
78.978951;3.167828;
79.018158;3.167474;
79.057373;3.167079;
79.096581;3.166704;
79.135796;3.166381;
79.175003;3.166064;
79.214180;3.165724;
79.253380;3.165514;
79.292587;3.165196;
79.331802;3.164886;
79.371010;3.164586;
79.410225;3.164267;
79.449432;3.164060;
79.488609;3.163774;
79.527809;3.163551;
79.567024;3.163283;
79.606232;3.162968;
79.645439;3.162814;
79.684654;3.162470;
79.723839;3.162189;
79.763039;3.161976;
79.802238;3.161707;
79.841454;3.161513;
79.880661;3.161206;
79.919876;3.160952;
79.959084;3.160682;
79.998260;3.160406;
80.037468;3.160164;
80.076668;3.159859;
80.115883;3.159547;
80.155090;3.159149;
80.194305;3.158819;
80.233513;3.158466;
80.272690;3.158087;
80.311905;3.157730;
80.351112;3.157335;
80.390312;3.156945;
80.429520;3.156453;
80.468735;3.156079;
80.507942;3.155702;
80.547119;3.155218;
80.586327;3.154683;
80.625542;3.154276;
80.664742;3.153826;
80.703957;3.153301;
80.743164;3.152817;
80.782379;3.152269;
80.821548;3.151815;
80.860756;3.151273;
80.899971;3.150713;
80.939171;3.150116;
80.978386;3.149648;
81.017593;3.149077;
81.056808;3.148429;
81.095978;3.148023;
81.135193;3.147539;
81.174400;3.146941;
81.213615;3.146393;
81.252815;3.145904;
81.292023;3.145294;
81.331238;3.144795;
81.370407;3.144281;
81.409622;3.143813;
81.448830;3.143303;
81.488045;3.142770;
81.527245;3.142300;
81.566460;3.141856;
81.605667;3.141407;
81.644852;3.140900;
81.684052;3.140545;
81.723259;3.140115;
81.762474;3.139713;
81.801674;3.139298;
81.840889;3.138907;
81.880096;3.138517;
81.919273;3.138230;
81.958481;3.137888;
81.997696;3.137530;
82.036903;3.137238;
82.076103;3.136873;
82.115318;3.136656;
82.154526;3.136317;
82.193703;3.136021;
82.232925;3.135786;
82.272125;3.135519;
82.311333;3.135308;
82.350548;3.135016;
82.389748;3.134768;
82.428955;3.134623;
82.468132;3.134344;
82.507339;3.134155;
82.546555;3.133977;
82.585762;3.133715;
82.624977;3.133477;
82.664177;3.133331;
82.703392;3.133088;
82.742561;3.132805;
82.781776;3.132636;
82.820984;3.132290;
82.860191;3.132077;
82.899406;3.131877;
82.938606;3.131618;
82.977821;3.131320;
83.016991;3.130900;
83.056206;3.130628;
83.095413;3.130349;
83.134628;3.129946;
83.173836;3.129653;
83.213051;3.129220;
83.252251;3.128796;
83.291420;3.128476;
83.330635;3.128034;
83.369843;3.127560;
83.409058;3.127149;
83.448265;3.126683;
83.487480;3.126199;
83.526680;3.125799;
83.565880;3.125319;
83.605064;3.124820;
83.644272;3.124285;
83.683487;3.123731;
83.722694;3.123312;
83.761909;3.122808;
83.801109;3.122238;
83.840286;3.121673;
83.879494;3.121157;
83.918709;3.120685;
83.957916;3.120105;
83.997131;3.119613;
84.036339;3.119118;
84.075539;3.118514;
84.114716;3.118029;
84.153946;3.117563;
84.193138;3.117027;
84.232346;3.116534;
84.271561;3.116108;
84.310768;3.115633;
84.349983;3.115185;
84.389145;3.114709;
84.428360;3.114324;
84.467567;3.113920;
84.506775;3.113545;
84.545990;3.113140;
84.585197;3.112785;
84.624413;3.112441;
84.663589;3.112067;
84.702789;3.111751;
84.741997;3.111498;
84.781212;3.111140;
84.820419;3.110833;
84.859627;3.110592;
84.898842;3.110391;
84.938004;3.110121;
84.977219;3.109895;
85.016426;3.109688;
85.055641;3.109508;
85.094849;3.109248;
85.134064;3.109088;
85.173271;3.108839;
85.212448;3.108583;
85.251648;3.108450;
85.290855;3.108263;
85.330070;3.108142;
85.369278;3.107863;
85.408493;3.107764;
85.447701;3.107522;
85.486885;3.107273;
85.526077;3.107131;
85.565292;3.106828;
85.604500;3.106607;
85.643715;3.106362;
85.682922;3.106059;
85.722130;3.105803;
85.761307;3.105448;
85.800507;3.105136;
85.839722;3.104732;
85.878929;3.104457;
85.918144;3.104065;
85.957352;3.103746;
85.996567;3.103315;
86.035736;3.102870;
86.074959;3.102462;
86.114151;3.102001;
86.153358;3.101595;
86.192574;3.101063;
86.231781;3.100591;
86.270996;3.100034;
86.310165;3.099540;
86.349380;3.099012;
86.388580;3.098441;
86.427795;3.097866;
86.467003;3.097296;
86.506210;3.096725;
86.545425;3.096174;
86.584602;3.095586;
86.623810;3.094952;
86.663010;3.094423;
86.702225;3.093778;
86.741432;3.093226;
86.780647;3.092628;
86.819855;3.092042;
86.859032;3.091491;
86.898239;3.090918;
86.937439;3.090317;
86.976654;3.089762;
87.015862;3.089196;
87.055077;3.088651;
87.094284;3.088213;
87.133461;3.087644;
87.172668;3.087155;
87.211884;3.086679;
87.251083;3.086114;
87.290291;3.085649;
87.329506;3.085208;
87.368713;3.084793;
87.407890;3.084257;
87.447098;3.083966;
87.486313;3.083513;
87.525513;3.083099;
87.564728;3.082676;
87.603935;3.082254;
87.643150;3.081902;
87.682320;3.081535;
87.721527;3.081194;
87.760742;3.080897;
87.799942;3.080570;
87.839157;3.080201;
87.878365;3.079801;
87.917580;3.079544;
87.956749;3.079248;
87.995979;3.078854;
88.035172;3.078460;
88.074371;3.078120;
88.113586;3.077821;
88.152794;3.077492;
88.192009;3.077076;
88.231178;3.076755;
88.270393;3.076359;
88.309601;3.075959;
88.348816;3.075545;
88.388016;3.075165;
88.427231;3.074650;
88.466438;3.074221;
88.505623;3.073869;
88.544823;3.073422;
88.584030;3.072892;
88.623245;3.072444;
88.662445;3.071928;
88.701660;3.071389;
88.740868;3.070914;
88.780045;3.070343;
88.819252;3.069803;
88.858467;3.069227;
88.897675;3.068659;
88.936874;3.068140;
88.976089;3.067509;
89.015297;3.066886;
89.054474;3.066378;
89.093681;3.065790;
89.132896;3.065212;
89.172104;3.064662;
89.211319;3.063994;
89.250519;3.063412;
89.289726;3.062820;
89.328903;3.062279;
89.368111;3.061741;
89.407326;3.061095;
89.446533;3.060621;
89.485748;3.060015;
89.524948;3.059584;
89.564163;3.059004;
89.603333;3.058557;
89.642548;3.058072;
89.681755;3.057604;
89.720963;3.057148;
89.760178;3.056714;
89.799377;3.056283;
89.838593;3.055946;
89.877762;3.055527;
89.916985;3.055189;
89.956184;3.054902;
89.995399;3.054588;
90.034607;3.054214;
90.073822;3.053954;
90.113022;3.053676;
90.152191;3.053429;
90.191406;3.053176;
90.230614;3.052910;
90.269829;3.052746;
90.309036;3.052564;
90.348251;3.052358;
90.387459;3.052183;
90.426651;3.052030;
90.465836;3.051904;
90.505043;3.051732;
90.544258;3.051584;
90.583466;3.051444;
90.622681;3.051274;
90.661888;3.051104;
90.701065;3.050990;
90.740265;3.050785;
90.779480;3.050620;
90.818687;3.050572;
90.857903;3.050355;
90.897110;3.050128;
90.936317;3.049970;
90.975494;3.049776;
91.014709;3.049488;
91.053909;3.049289;
91.093117;3.049030;
91.132332;3.048828;
91.171539;3.048505;
91.210754;3.048191;
91.249924;3.047841;
91.289139;3.047563;
91.328339;3.047149;
91.367546;3.046833;
91.406761;3.046460;
91.445969;3.046074;
91.485184;3.045676;
91.524353;3.045336;
91.563568;3.044890;
91.602768;3.044450;
91.641983;3.043981;
91.681190;3.043518;
91.720398;3.042998;
91.759613;3.042547;
91.798782;3.042034;
91.837997;3.041549;
91.877197;3.041139;
91.916412;3.040529;
91.955620;3.040099;
91.994835;3.039571;
92.034042;3.039081;
92.073219;3.038603;
92.112427;3.038162;
92.151627;3.037568;
92.190842;3.037207;
92.230049;3.036728;
92.269264;3.036305;
92.308472;3.035843;
92.347664;3.035381;
92.386856;3.035033;
92.426071;3.034680;
92.465271;3.034251;
92.504478;3.033930;
92.543694;3.033545;
92.582901;3.033171;
92.622078;3.032849;
92.661285;3.032562;
92.700500;3.032282;
