"Piezo Voltage (V)";"Fine In 1 (V)";
77.018913;2.907186;
77.058128;2.906540;
77.097336;2.906172;
77.136551;2.905909;
77.175758;2.905679;
77.214958;2.905445;
77.254173;2.905212;
77.293343;2.905026;
77.332565;2.904790;
77.371765;2.904591;
77.410980;2.904507;
77.450188;2.904269;
77.489403;2.904071;
77.528603;2.903915;
77.567772;2.903737;
77.606987;2.903521;
77.646194;2.903338;
77.685410;2.903121;
77.724617;2.902961;
77.763832;2.902716;
77.803032;2.902433;
77.842209;2.902181;
77.881416;2.901993;
77.920631;2.901609;
77.959839;2.901459;
77.999054;2.901131;
78.038261;2.900827;
78.077461;2.900585;
78.116638;2.900211;
78.155846;2.899842;
78.195061;2.899584;
78.234268;2.899220;
78.273483;2.898806;
78.312691;2.898457;
78.351906;2.898066;
78.391068;2.897615;
78.430275;2.897223;
78.469490;2.896831;
78.508698;2.896350;
78.547913;2.895878;
78.587120;2.895482;
78.626335;2.895056;
78.665520;2.894676;
78.704712;2.894129;
78.743919;2.893625;
78.783127;2.893189;
78.822342;2.892705;
78.861549;2.892242;
78.900764;2.891736;
78.939926;2.891171;
78.979141;2.890699;
79.018349;2.890279;
79.057564;2.889692;
79.096771;2.889259;
79.135986;2.888764;
79.175194;2.888333;
79.214355;2.887894;
79.253593;2.887438;
79.292778;2.886995;
79.331993;2.886559;
79.371201;2.886132;
79.410416;2.885725;
79.449623;2.885320;
79.488800;2.884958;
79.528000;2.884545;
79.567215;2.884198;
79.606422;2.883836;
79.645630;2.883486;
79.684845;2.883146;
79.724052;2.882758;
79.763229;2.882492;
79.802429;2.882181;
79.841644;2.881852;
79.880852;2.881598;
79.920067;2.881311;
79.959274;2.881134;
79.998489;2.880846;
80.037659;2.880658;
80.076859;2.880374;
80.116074;2.880202;
80.155281;2.879981;
80.194496;2.879793;
80.233704;2.879520;
80.272919;2.879455;
80.312088;2.879153;
80.351303;2.879047;
80.390503;2.878829;
80.429710;2.878701;
80.468925;2.878500;
80.508133;2.878329;
80.547348;2.878148;
80.586525;2.877885;
80.625732;2.877677;
