"Piezo Voltage (V)";"Fine In 1 (V)";
77.018951;2.941345;
77.058128;2.940776;
77.097336;2.940291;
77.136551;2.939929;
77.175758;2.939668;
77.214958;2.939141;
77.254173;2.938839;
77.293381;2.938427;
77.332565;2.937973;
77.371765;2.937591;
77.410980;2.937202;
77.450188;2.936790;
77.489403;2.936264;
77.528603;2.935877;
77.567810;2.935416;
77.606987;2.934980;
77.646194;2.934525;
77.685410;2.934015;
77.724617;2.933568;
77.763832;2.933004;
77.803032;2.932477;
77.842247;2.932018;
77.881416;2.931526;
77.920631;2.931051;
77.959839;2.930545;
77.999054;2.930003;
78.038261;2.929542;
78.077461;2.929070;
78.116676;2.928601;
78.155846;2.928152;
78.195061;2.927732;
78.234268;2.927315;
78.273483;2.926850;
78.312691;2.926339;
78.351906;2.925974;
78.391106;2.925614;
78.430275;2.925170;
78.469490;2.924726;
78.508698;2.924357;
78.547913;2.923984;
78.587120;2.923615;
78.626335;2.923267;
78.665535;2.922917;
78.704712;2.922582;
78.743942;2.922246;
78.783127;2.921971;
78.822342;2.921657;
78.861549;2.921362;
78.900764;2.921137;
78.939964;2.920820;
78.979141;2.920583;
79.018349;2.920354;
79.057564;2.920069;
79.096771;2.919915;
79.135986;2.919723;
79.175194;2.919438;
79.214394;2.919239;
79.253593;2.919023;
79.292778;2.918741;
79.331993;2.918601;
79.371201;2.918408;
79.410416;2.918167;
79.449623;2.917957;
79.488838;2.917799;
79.528000;2.917495;
79.567215;2.917345;
79.606422;2.917158;
79.645630;2.916872;
79.684845;2.916561;
79.724052;2.916360;
79.763268;2.916108;
79.802429;2.915807;
79.841644;2.915514;
79.880852;2.915238;
79.920067;2.914931;
79.959274;2.914625;
79.998489;2.914264;
80.037697;2.913884;
80.076859;2.913496;
80.116074;2.913174;
80.155281;2.912808;
80.194496;2.912344;
80.233704;2.911942;
80.272919;2.911551;
80.312126;2.911057;
80.351303;2.910670;
80.390503;2.910157;
80.429710;2.909707;
80.468925;2.909149;
80.508133;2.908672;
80.547348;2.908133;
80.586555;2.907606;
80.625732;2.907128;
80.664948;2.906748;
80.704147;2.906065;
80.743355;2.905561;
80.782562;2.905023;
80.821777;2.904429;
80.860985;2.903953;
80.900162;2.903427;
80.939362;2.902985;
80.978577;2.902246;
81.017784;2.901731;
81.056999;2.901278;
81.096207;2.900729;
81.135422;2.900222;
81.174606;2.899719;
81.213791;2.899211;
81.253006;2.898834;
81.292213;2.898355;
81.331429;2.897937;
81.370636;2.897476;
81.409851;2.897001;
81.449020;2.896655;
81.488235;2.896226;
81.527435;2.895850;
81.566650;2.895479;
81.605858;2.895140;
81.645065;2.894832;
81.684280;2.894459;
81.723450;2.894153;
81.762672;2.893820;
81.801865;2.893541;
81.841080;2.893207;
81.880287;2.892990;
81.919502;2.892708;
81.958710;2.892486;
81.997879;2.892219;
82.037094;2.892043;
82.076294;2.891721;
82.115509;2.891576;
82.154716;2.891263;
82.193932;2.891077;
82.233139;2.890941;
82.272316;2.890626;
82.311523;2.890389;
82.350739;2.890191;
82.389938;2.889917;
82.429153;2.889688;
82.468361;2.889498;
82.507568;2.889175;
82.546745;2.888885;
82.585953;2.888678;
82.625168;2.888385;
82.664368;2.888093;
82.703583;2.887811;
82.742790;2.887465;
82.782005;2.887100;
82.821175;2.886729;
82.860382;2.886381;
82.899597;2.885950;
82.938797;2.885496;
82.978012;2.885089;
83.017220;2.884581;
83.056435;2.884229;
83.095619;2.883766;
83.134819;2.883166;
83.174026;2.882713;
83.213226;2.882138;
83.252441;2.881624;
83.291649;2.881100;
83.330864;2.880502;
83.370033;2.879938;
83.409248;2.879363;
83.448456;2.878728;
83.487671;2.878086;
83.526871;2.877514;
83.566086;2.876920;
83.605293;2.876301;
83.644463;2.875627;
83.683693;2.875021;
83.722885;2.874381;
83.762100;2.873798;
83.801300;2.873175;
83.840515;2.872582;
83.879723;2.871968;
83.918900;2.871341;
83.958107;2.870725;
83.997322;2.870036;
84.036530;2.869511;
84.075729;2.868845;
84.114944;2.868364;
84.154152;2.867733;
84.193329;2.867186;
84.232536;2.866568;
84.271751;2.866076;
84.310959;2.865460;
84.350174;2.864889;
84.389374;2.864411;
84.428589;2.863780;
84.467758;2.863255;
84.506966;2.862679;
84.546181;2.862049;
84.585388;2.861470;
84.624603;2.860947;
84.663803;2.860342;
84.703018;2.859751;
84.742188;2.859104;
84.781403;2.858483;
84.820610;2.857774;
84.859818;2.857113;
84.899033;2.856396;
84.938232;2.855683;
84.977448;2.854836;
85.016640;2.854065;
85.055832;2.853215;
85.095039;2.852325;
85.134254;2.851444;
85.173462;2.850375;
85.212662;2.849353;
85.251877;2.848295;
85.291046;2.847195;
85.330261;2.845970;
85.369469;2.844706;
85.408684;2.843396;
85.447891;2.841955;
85.487106;2.840497;
85.526306;2.839109;
85.565483;2.837561;
85.604713;2.835853;
85.643898;2.834228;
85.683113;2.832469;
85.722321;2.830711;
85.761536;2.828867;
85.800735;2.826847;
85.839912;2.824961;
85.879120;2.822980;
85.918335;2.820840;
85.957542;2.818789;
85.996758;2.816612;
86.035965;2.814412;
86.075165;2.812177;
86.114342;2.809935;
86.153549;2.807677;
86.192764;2.805345;
86.231972;2.803080;
86.271187;2.800725;
86.310394;2.798444;
86.349609;2.796102;
86.388771;2.793773;
86.427979;2.791474;
86.467194;2.789160;
86.506401;2.786829;
86.545616;2.784614;
86.584824;2.782314;
86.624039;2.780043;
86.663200;2.777838;
86.702415;2.775635;
86.741623;2.773479;
86.780838;2.771359;
86.820045;2.769275;
86.859261;2.767196;
86.898468;2.765122;
86.937645;2.763321;
86.976845;2.761189;
87.016052;2.759316;
87.055267;2.757505;
87.094475;2.755692;
87.133690;2.754005;
87.172897;2.752219;
87.212074;2.750645;
87.251274;2.749050;
87.290482;2.747546;
87.329697;2.746062;
87.368904;2.744583;
87.408119;2.743218;
87.447327;2.741828;
87.486504;2.740471;
87.525726;2.739250;
87.564919;2.738045;
87.604126;2.736884;
87.643333;2.735716;
87.682549;2.734721;
87.721756;2.733630;
87.760933;2.732612;
87.800133;2.731665;
87.839348;2.730729;
87.878555;2.729925;
87.917770;2.728998;
87.956978;2.728229;
87.996193;2.727302;
88.035370;2.726652;
88.074562;2.725899;
88.113777;2.725237;
88.152985;2.724591;
88.192200;2.723954;
88.231407;2.723329;
88.270622;2.722843;
88.309792;2.722260;
88.349007;2.721741;
88.388206;2.721253;
88.427422;2.720886;
88.466629;2.720435;
88.505836;2.720112;
88.545052;2.719738;
88.584221;2.719437;
88.623436;2.719123;
88.662636;2.718939;
88.701851;2.718708;
88.741058;2.718568;
88.780273;2.718435;
88.819481;2.718366;
88.858658;2.718414;
88.897865;2.718419;
88.937065;2.718484;
88.976280;2.718642;
89.015488;2.718847;
89.054703;2.719081;
89.093910;2.719322;
89.133087;2.719715;
89.172295;2.720050;
89.211510;2.720484;
89.250710;2.721017;
89.289917;2.721582;
89.329132;2.722304;
89.368340;2.723066;
89.407516;2.723737;
89.446739;2.724662;
89.485939;2.725597;
89.525139;2.726573;
89.564354;2.727566;
89.603561;2.728741;
89.642776;2.729871;
89.681946;2.731120;
89.721153;2.732459;
89.760368;2.733800;
89.799568;2.735309;
