"Piezo Voltage (V)";"Fine In 1 (V)";
77.018875;3.187783;
77.058090;3.187279;
77.097298;3.186787;
77.136513;3.186213;
77.175720;3.185828;
77.214920;3.185306;
77.254135;3.184733;
77.293304;3.184326;
77.332527;3.183696;
77.371727;3.183244;
77.410942;3.182781;
77.450150;3.182166;
77.489365;3.181670;
77.528564;3.181128;
77.567734;3.180539;
77.606949;3.180171;
77.646156;3.179691;
77.685371;3.179133;
77.724579;3.178638;
77.763794;3.178254;
77.802994;3.177685;
77.842194;3.177247;
77.881378;3.176774;
77.920593;3.176393;
77.959801;3.175958;
77.999008;3.175653;
78.038223;3.175139;
78.077423;3.174807;
78.116600;3.174397;
78.155807;3.173944;
78.195023;3.173563;
78.234230;3.173309;
78.273445;3.172909;
78.312653;3.172583;
78.351868;3.172300;
78.391029;3.171930;
78.430244;3.171669;
78.469452;3.171348;
78.508659;3.170967;
78.547874;3.170753;
78.587082;3.170430;
78.626297;3.170154;
78.665459;3.169849;
78.704674;3.169589;
78.743881;3.169307;
78.783089;3.169091;
78.822304;3.168738;
78.861511;3.168444;
78.900726;3.168211;
78.939888;3.167969;
78.979103;3.167666;
79.018311;3.167371;
79.057526;3.167125;
79.096733;3.166782;
79.135948;3.166581;
79.175156;3.166190;
79.214317;3.165886;
79.253532;3.165578;
79.292740;3.165178;
79.331955;3.164796;
79.371162;3.164497;
79.410378;3.164098;
79.449585;3.163794;
79.488762;3.163351;
79.527962;3.162948;
79.567177;3.162441;
79.606384;3.161962;
79.645592;3.161550;
79.684807;3.161103;
79.724014;3.160551;
79.763206;3.160196;
79.802391;3.159723;
79.841606;3.159160;
79.880814;3.158639;
79.920029;3.158094;
79.959236;3.157579;
79.998444;3.157048;
80.037621;3.156481;
80.076820;3.155956;
80.116035;3.155340;
80.155243;3.154811;
80.194458;3.154319;
80.233665;3.153661;
80.272881;3.153173;
80.312050;3.152645;
80.351273;3.152073;
80.390465;3.151447;
80.429672;3.150919;
