"Piezo Voltage (V)";"Fine In 1 (V)";
77.018860;2.987878;
77.058052;2.987352;
77.097260;2.986850;
77.136475;2.986507;
77.175682;2.986101;
77.214882;2.985663;
77.254097;2.985425;
77.293266;2.985075;
77.332481;2.984667;
77.371689;2.984318;
77.410904;2.984033;
77.450111;2.983661;
77.489326;2.983400;
77.528526;2.983077;
77.567703;2.982663;
77.606911;2.982384;
77.646118;2.982087;
77.685333;2.981733;
77.724541;2.981479;
77.763756;2.981207;
77.802956;2.980926;
77.842133;2.980663;
77.881340;2.980354;
77.920555;2.980077;
77.959763;2.979861;
77.998970;2.979640;
78.038185;2.979284;
78.077385;2.979084;
78.116562;2.978721;
78.155769;2.978457;
78.194984;2.978153;
78.234192;2.977812;
78.273407;2.977514;
78.312614;2.977244;
78.351830;2.976928;
78.390991;2.976592;
78.430206;2.976239;
78.469414;2.975906;
78.508621;2.975576;
78.547836;2.975197;
78.587044;2.974789;
78.626259;2.974448;
78.665421;2.974111;
78.704636;2.973578;
78.743843;2.973198;
78.783051;2.972782;
78.822266;2.972306;
78.861473;2.971862;
78.900688;2.971410;
78.939873;2.970905;
78.979065;2.970454;
79.018272;2.969916;
79.057487;2.969388;
79.096695;2.968917;
79.135910;2.968357;
79.175117;2.967750;
79.214279;2.967286;
79.253494;2.966754;
79.292702;2.966144;
79.331917;2.965604;
79.371124;2.964998;
79.410339;2.964474;
79.449547;2.963963;
79.488724;2.963369;
79.527939;2.962886;
79.567139;2.962281;
79.606346;2.961676;
79.645554;2.961112;
79.684769;2.960703;
79.723976;2.960139;
79.763153;2.959690;
79.802353;2.959194;
79.841568;2.958629;
79.880775;2.958178;
79.919991;2.957656;
79.959198;2.957183;
79.998405;2.956673;
80.037582;2.956314;
80.076782;2.955840;
80.115997;2.955420;
80.155205;2.955017;
80.194420;2.954619;
80.233627;2.954234;
80.272842;2.953842;
80.312012;2.953489;
80.351234;2.953110;
80.390427;2.952777;
80.429634;2.952478;
80.468849;2.952040;
80.508057;2.951814;
80.547272;2.951461;
80.586441;2.951251;
80.625656;2.950964;
80.664856;2.950734;
80.704071;2.950449;
80.743279;2.950129;
80.782494;2.949846;
80.821701;2.949584;
80.860886;2.949395;
80.900085;2.949126;
80.939285;2.948878;
80.978500;2.948659;
81.017708;2.948415;
81.056923;2.948107;
81.096130;2.947881;
81.135307;2.947603;
81.174515;2.947297;
81.213715;2.947048;
81.252930;2.946714;
81.292137;2.946409;
81.331352;2.946144;
81.370560;2.945825;
81.409737;2.945534;
81.448959;2.945159;
81.488159;2.944802;
81.527359;2.944450;
81.566574;2.944055;
81.605782;2.943648;
81.644989;2.943326;
81.684166;2.942847;
81.723373;2.942449;
81.762589;2.942002;
81.801788;2.941569;
81.841003;2.941066;
81.880211;2.940608;
81.919426;2.940123;
81.958595;2.939573;
81.997810;2.939079;
82.037018;2.938550;
82.076218;2.938092;
82.115433;2.937568;
82.154640;2.936924;
82.193855;2.936466;
82.233025;2.935909;
82.272240;2.935471;
82.311447;2.934909;
82.350662;2.934312;
82.389862;2.933784;
82.429070;2.933314;
82.468285;2.932708;
82.507454;2.932277;
82.546669;2.931776;
82.585876;2.931183;
82.625092;2.930674;
82.664291;2.930190;
82.703506;2.929646;
82.742714;2.929265;
82.781914;2.928776;
82.821098;2.928309;
82.860306;2.927834;
82.899521;2.927429;
82.938721;2.926937;
82.977936;2.926612;
83.017143;2.926234;
83.056320;2.925927;
83.095528;2.925497;
83.134743;2.925157;
83.173950;2.924842;
83.213150;2.924571;
83.252365;2.924299;
83.291573;2.924017;
83.330750;2.923749;
83.369972;2.923525;
83.409172;2.923270;
83.448380;2.922977;
83.487595;2.922804;
83.526794;2.922549;
83.566010;2.922366;
83.605179;2.922077;
83.644386;2.921804;
83.683601;2.921663;
83.722809;2.921479;
83.762024;2.921291;
83.801224;2.921081;
83.840439;2.920834;
83.879608;2.920646;
83.918823;2.920440;
83.958031;2.920139;
83.997246;2.919890;
84.036453;2.919605;
84.075653;2.919375;
84.114868;2.919083;
84.154037;2.918864;
84.193253;2.918453;
84.232460;2.918183;
84.271675;2.917811;
84.310883;2.917505;
84.350098;2.917065;
84.389297;2.916770;
84.428467;2.916305;
84.467682;2.915903;
84.506889;2.915536;
84.546104;2.915125;
84.585312;2.914637;
84.624527;2.914276;
84.663727;2.913616;
84.702927;2.913219;
84.742111;2.912718;
84.781326;2.912202;
84.820534;2.911720;
84.859741;2.911136;
84.898956;2.910617;
84.938156;2.910134;
84.977333;2.909594;
85.016541;2.909045;
85.055756;2.908535;
85.094963;2.907951;
85.134178;2.907481;
85.173386;2.906959;
85.212601;2.906435;
85.251762;2.905929;
85.290993;2.905420;
85.330185;2.904912;
85.369392;2.904363;
85.408607;2.904003;
85.447815;2.903563;
85.487030;2.903003;
85.526192;2.902653;
85.565407;2.902137;
85.604614;2.901731;
85.643822;2.901284;
85.683037;2.900933;
85.722244;2.900597;
85.761459;2.900177;
85.800636;2.899787;
85.839836;2.899527;
85.879044;2.899197;
85.918259;2.898886;
85.957466;2.898565;
85.996681;2.898377;
86.035889;2.898100;
86.075050;2.897813;
86.114265;2.897539;
86.153473;2.897269;
86.192688;2.897104;
86.231895;2.896782;
86.271111;2.896519;
86.310318;2.896385;
86.349495;2.896092;
86.388695;2.895891;
86.427910;2.895670;
86.467117;2.895495;
86.506325;2.895214;
86.545540;2.895018;
86.584747;2.894767;
86.623932;2.894446;
86.663124;2.894227;
86.702339;2.893920;
86.741547;2.893688;
86.780762;2.893362;
86.819969;2.893089;
86.859177;2.892715;
86.898354;2.892410;
86.937553;2.892015;
86.976768;2.891639;
87.015976;2.891278;
87.055191;2.890745;
87.094398;2.890396;
87.133614;2.889947;
87.172783;2.889494;
87.212013;2.888983;
87.251198;2.888496;
87.290405;2.887976;
87.329620;2.887465;
87.368828;2.886904;
87.408043;2.886277;
87.447212;2.885772;
87.486427;2.885195;
87.525627;2.884627;
87.564842;2.884057;
87.604050;2.883454;
87.643265;2.882794;
87.682472;2.882256;
87.721657;2.881687;
87.760857;2.881064;
87.800056;2.880500;
87.839272;2.879905;
87.878479;2.879243;
87.917694;2.878730;
87.956902;2.878124;
87.996078;2.877578;
88.035286;2.876930;
88.074486;2.876409;
88.113701;2.875851;
88.152908;2.875391;
88.192123;2.874921;
88.231331;2.874342;
88.270508;2.873896;
88.309715;2.873371;
88.348930;2.873051;
88.388130;2.872620;
88.427345;2.872197;
88.466553;2.871854;
88.505760;2.871476;
88.544937;2.871095;
88.584145;2.870793;
88.623360;2.870483;
88.662560;2.870162;
88.701775;2.869887;
88.740982;2.869577;
88.780197;2.869314;
88.819366;2.869016;
88.858574;2.868819;
88.897789;2.868570;
88.936989;2.868317;
88.976204;2.868077;
89.015411;2.867887;
89.054626;2.867599;
89.093796;2.867356;
89.133026;2.867104;
