"Piezo Voltage (V)";"Fine In 1 (V)";
77.018799;3.021550;
77.058014;3.020910;
77.097221;3.020499;
77.136398;3.020096;
77.175606;3.019767;
77.214806;3.019308;
77.254021;3.018991;
77.293228;3.018663;
77.332443;3.018260;
77.371651;3.017866;
77.410828;3.017541;
77.450050;3.017196;
77.489250;3.016835;
77.528450;3.016509;
77.567665;3.016217;
77.606873;3.015900;
77.646080;3.015534;
77.685257;3.015284;
77.724464;3.014996;
77.763680;3.014663;
77.802879;3.014411;
77.842094;3.014119;
77.881302;3.013794;
77.920517;3.013432;
77.959686;3.013159;
77.998894;3.012938;
78.038109;3.012575;
78.077309;3.012276;
78.116524;3.012053;
78.155731;3.011687;
78.194946;3.011308;
78.234116;3.011015;
78.273331;3.010683;
78.312538;3.010360;
78.351753;3.010057;
78.390953;3.009683;
78.430161;3.009264;
78.469376;3.008935;
78.508545;3.008526;
78.547760;3.008202;
78.586967;3.007759;
78.626183;3.007311;
78.665382;3.006964;
78.704597;3.006507;
78.743805;3.006010;
78.783005;3.005566;
78.822189;3.005044;
78.861397;3.004585;
78.900612;3.004070;
78.939812;3.003594;
78.979027;3.003071;
79.018234;3.002539;
79.057411;3.001960;
79.096619;3.001415;
79.135834;3.000854;
79.175041;3.000300;
79.214241;2.999761;
79.253456;2.999189;
79.292664;2.998646;
79.331841;2.998024;
79.371063;2.997525;
79.410263;2.996896;
79.449471;2.996328;
79.488686;2.995771;
79.527885;2.995152;
79.567101;2.994629;
79.606270;2.994122;
79.645477;2.993534;
79.684692;2.992978;
79.723900;2.992496;
79.763115;2.991961;
79.802315;2.991475;
79.841530;2.990938;
79.880707;2.990480;
79.919914;2.989981;
79.959122;2.989439;
79.998329;2.988978;
80.037544;2.988492;
80.076744;2.988103;
80.115959;2.987624;
80.155128;2.987218;
80.194344;2.986812;
80.233551;2.986422;
80.272766;2.986022;
80.311974;2.985627;
80.351189;2.985268;
80.390388;2.984962;
80.429558;2.984562;
80.468773;2.984228;
80.507980;2.983960;
80.547195;2.983651;
80.586403;2.983324;
80.625618;2.983041;
80.664818;2.982749;
80.704010;2.982477;
80.743202;2.982246;
80.782417;2.981980;
80.821625;2.981649;
80.860832;2.981352;
80.900047;2.981136;
80.939247;2.980794;
80.978424;2.980577;
81.017632;2.980272;
81.056847;2.979949;
81.096054;2.979783;
81.135269;2.979460;
81.174477;2.979197;
81.213676;2.978865;
81.252853;2.978475;
81.292084;2.978179;
81.331276;2.977846;
81.370483;2.977492;
81.409698;2.977122;
81.448906;2.976771;
81.488121;2.976440;
81.527283;2.976068;
81.566498;2.975541;
81.605705;2.975169;
81.644913;2.974814;
81.684128;2.974353;
81.723335;2.973895;
81.762550;2.973383;
81.801735;2.972889;
81.840927;2.972450;
81.880135;2.971952;
81.919350;2.971403;
81.958557;2.970873;
81.997772;2.970330;
82.036980;2.969734;
82.076141;2.969212;
82.115356;2.968610;
82.154564;2.968112;
82.193779;2.967534;
82.232986;2.966967;
82.272202;2.966457;
82.311409;2.965806;
82.350586;2.965273;
82.389786;2.964682;
82.428993;2.964159;
82.468208;2.963673;
82.507416;2.963118;
82.546631;2.962525;
82.585838;2.962055;
82.625015;2.961545;
82.664215;2.961115;
82.703430;2.960552;
82.742638;2.960057;
82.781853;2.959593;
82.821060;2.959160;
82.860268;2.958588;
82.899445;2.958175;
82.938644;2.957686;
82.977859;2.957321;
83.017067;2.956930;
83.056282;2.956535;
83.095490;2.956204;
83.134705;2.955864;
83.173874;2.955520;
83.213104;2.955203;
83.252289;2.954804;
83.291496;2.954587;
83.330711;2.954276;
83.369919;2.953981;
83.409134;2.953697;
83.448303;2.953478;
83.487518;2.953198;
83.526718;2.952990;
83.565933;2.952734;
83.605141;2.952466;
83.644348;2.952141;
83.683563;2.951869;
83.722748;2.951721;
83.761948;2.951507;
83.801147;2.951223;
83.840363;2.951059;
83.879570;2.950781;
83.918785;2.950553;
83.957993;2.950229;
83.997169;2.949924;
84.036377;2.949651;
84.075577;2.949359;
84.114792;2.949036;
84.153999;2.948704;
84.193214;2.948354;
84.232422;2.948065;
84.271599;2.947646;
84.310814;2.947257;
84.350021;2.946911;
84.389221;2.946461;
84.428436;2.946047;
84.467644;2.945556;
84.506851;2.945118;
84.546028;2.944581;
84.585236;2.944052;
84.624451;2.943637;
84.663651;2.943102;
84.702866;2.942599;
84.742073;2.941962;
84.781288;2.941453;
84.820457;2.940881;
84.859665;2.940347;
84.898880;2.939778;
84.938080;2.939257;
84.977295;2.938628;
85.016502;2.938053;
85.055717;2.937480;
85.094887;2.936927;
85.134109;2.936271;
85.173309;2.935764;
85.212524;2.935195;
85.251724;2.934583;
85.290932;2.934008;
85.330147;2.933451;
85.369316;2.932953;
85.408531;2.932468;
85.447739;2.931857;
85.486954;2.931373;
85.526154;2.930819;
85.565369;2.930296;
85.604576;2.929925;
85.643761;2.929402;
85.682961;2.928859;
85.722168;2.928487;
85.761383;2.928005;
85.800583;2.927610;
85.839798;2.927155;
85.879005;2.926704;
85.918182;2.926311;
85.957390;2.925904;
85.996605;2.925502;
86.035812;2.925112;
86.075012;2.924691;
86.114227;2.924259;
86.153435;2.923837;
86.192612;2.923468;
86.231834;2.923036;
86.271034;2.922643;
86.310242;2.922322;
86.349457;2.921778;
86.388657;2.921422;
86.427872;2.921031;
86.467041;2.920562;
86.506248;2.920004;
86.545464;2.919562;
86.584671;2.919075;
86.623886;2.918464;
86.663086;2.917859;
86.702301;2.917252;
86.741470;2.916742;
86.780685;2.916084;
86.819893;2.915429;
86.859100;2.914794;
86.898315;2.914040;
86.937515;2.913272;
86.976730;2.912519;
87.015900;2.911665;
87.055115;2.910831;
87.094322;2.910067;
87.133537;2.909212;
87.172745;2.908294;
87.211960;2.907387;
87.251160;2.906432;
87.290329;2.905436;
87.329544;2.904469;
87.368752;2.903504;
87.407967;2.902535;
87.447174;2.901505;
87.486389;2.900424;
87.525589;2.899447;
87.564789;2.898406;
87.603973;2.897384;
87.643188;2.896339;
87.682396;2.895357;
87.721603;2.894308;
87.760818;2.893344;
87.800018;2.892281;
87.839195;2.891237;
87.878403;2.890256;
87.917618;2.889348;
87.956825;2.888305;
87.996040;2.887383;
88.035248;2.886421;
