"Piezo Voltage (V)";"Fine In 1 (V)";
87.607895;2.841224;
87.632469;2.840867;
87.657005;2.840618;
87.681557;2.840438;
87.706093;2.840270;
87.730652;2.840021;
87.755226;2.839872;
87.779762;2.839699;
87.804344;2.839433;
87.828880;2.839223;
87.853439;2.839031;
87.877975;2.838770;
87.902550;2.838619;
87.927086;2.838413;
87.951668;2.838200;
87.976204;2.838003;
88.000771;2.837776;
88.025299;2.837533;
88.049843;2.837328;
88.074425;2.837098;
88.098961;2.836898;
88.123535;2.836650;
88.148071;2.836399;
88.172653;2.836143;
88.197166;2.835892;
88.221748;2.835719;
88.246284;2.835454;
88.270859;2.835194;
88.295395;2.834978;
88.319954;2.834650;
88.344513;2.834452;
88.369041;2.834126;
88.393616;2.833963;
88.418152;2.833720;
88.442734;2.833460;
88.467270;2.833168;
88.491844;2.832990;
88.516380;2.832752;
88.540939;2.832521;
88.565475;2.832235;
88.590042;2.831949;
88.614594;2.831661;
88.639153;2.831438;
88.663704;2.831165;
88.688263;2.830982;
88.712814;2.830743;
88.737350;2.830512;
88.761925;2.830209;
88.786461;2.829994;
88.811043;2.829754;
88.835579;2.829439;
88.860153;2.829246;
88.884674;2.829009;
88.909248;2.828825;
88.933784;2.828603;
88.958344;2.828358;
88.982910;2.828183;
89.007462;2.827890;
89.032036;2.827645;
89.056541;2.827462;
89.081123;2.827259;
89.105659;2.827027;
89.130234;2.826765;
89.154770;2.826608;
89.179352;2.826362;
89.203888;2.826163;
89.228432;2.825938;
89.252983;2.825707;
89.277542;2.825514;
89.302116;2.825293;
89.326653;2.825173;
89.351227;2.824949;
89.375771;2.824787;
89.400314;2.824593;
89.424850;2.824345;
89.449432;2.824244;
89.473969;2.824040;
89.498543;2.823894;
89.523079;2.823685;
89.547638;2.823539;
89.572189;2.823447;
89.596733;2.823322;
89.621307;2.823121;
89.645851;2.822989;
89.670425;2.822775;
89.694962;2.822588;
89.719536;2.822504;
89.744049;2.822270;
89.768623;2.822161;
89.793159;2.822041;
89.817726;2.821800;
89.842278;2.821674;
89.866837;2.821570;
89.891388;2.821377;
89.915932;2.821212;
89.940506;2.821098;
89.965042;2.820992;
89.989616;2.820851;
90.014160;2.820685;
90.038734;2.820561;
90.063271;2.820425;
90.087822;2.820311;
90.112358;2.820209;
90.136917;2.820000;
90.161469;2.819968;
90.186028;2.819840;
90.210594;2.819653;
90.235146;2.819508;
90.259697;2.819417;
90.284241;2.819288;
90.308815;2.819122;
90.333351;2.819048;
90.357933;2.818885;
90.382469;2.818755;
90.407043;2.818633;
90.431557;2.818472;
90.456131;2.818325;
90.480667;2.818173;
90.505226;2.818082;
90.529800;2.817911;
90.554337;2.817778;
90.578918;2.817631;
90.603432;2.817515;
90.628014;2.817333;
90.652550;2.817307;
90.677124;2.816964;
90.701660;2.816852;
90.726242;2.816641;
90.750778;2.816519;
90.775314;2.816334;
90.799873;2.816144;
90.824417;2.815918;
90.848999;2.815784;
90.873535;2.815603;
90.898109;2.815349;
90.922646;2.815202;
90.947205;2.815001;
90.971741;2.814832;
90.996323;2.814565;
91.020859;2.814308;
91.045433;2.814058;
91.069969;2.813864;
91.094528;2.813597;
91.119080;2.813495;
91.143616;2.813172;
91.168190;2.812968;
91.192726;2.812707;
91.217308;2.812441;
91.241844;2.812209;
91.266418;2.811939;
91.290939;2.811741;
91.315514;2.811562;
91.340050;2.811273;
91.364616;2.811017;
91.389168;2.810776;
91.413727;2.810573;
91.438278;2.810271;
91.462807;2.810022;
91.487389;2.809763;
91.511925;2.809512;
91.536499;2.809259;
91.561035;2.808929;
91.585617;2.808733;
91.610153;2.808518;
91.634712;2.808242;
91.659248;2.807997;
91.683807;2.807726;
91.708359;2.807489;
91.732918;2.807232;
91.757484;2.806981;
91.782036;2.806747;
91.806580;2.806444;
91.831116;2.806264;
91.855698;2.806065;
91.880234;2.805771;
91.904808;2.805575;
91.929344;2.805315;
91.953926;2.805092;
91.978439;2.804807;
92.003006;2.804671;
92.027557;2.804409;
92.052116;2.804171;
92.076691;2.804010;
92.101227;2.803748;
92.125801;2.803579;
92.150314;2.803390;
92.174889;2.803216;
92.199425;2.802988;
92.224007;2.802868;
92.248543;2.802668;
92.273117;2.802408;
92.297653;2.802260;
92.322197;2.802087;
92.346764;2.801898;
92.371307;2.801697;
92.395882;2.801607;
92.420425;2.801439;
92.445000;2.801214;
92.469536;2.801131;
92.494087;2.800966;
92.518623;2.800828;
92.543198;2.800700;
92.567734;2.800563;
92.592300;2.800457;
92.616852;2.800247;
92.641411;2.800147;
92.665962;2.799973;
92.690506;2.799860;
92.715080;2.799708;
92.739616;2.799550;
92.764191;2.799422;
92.788734;2.799304;
92.813309;2.799151;
92.837814;2.799083;
92.862396;2.798998;
92.886932;2.798885;
92.911491;2.798783;
92.936043;2.798672;
92.960602;2.798484;
92.985168;2.798429;
93.009697;2.798311;
93.034271;2.798167;
93.058815;2.798102;
93.083389;2.798013;
93.107925;2.797825;
93.132500;2.797776;
93.157043;2.797567;
93.181587;2.797508;
93.206123;2.797380;
93.230682;2.797262;
93.255241;2.797108;
93.279800;2.796984;
93.304375;2.796807;
93.328911;2.796724;
93.353470;2.796502;
93.378006;2.796406;
93.402580;2.796189;
93.427124;2.796169;
93.451698;2.795949;
93.476234;2.795842;
93.500809;2.795637;
93.525322;2.795495;
93.549889;2.795362;
93.574448;2.795195;
93.598991;2.795047;
93.623566;2.794833;
93.648109;2.794644;
93.672684;2.794545;
93.697205;2.794294;
93.721779;2.794154;
93.746315;2.793902;
93.770889;2.793685;
93.795433;2.793498;
93.820007;2.793318;
93.844543;2.793084;
93.869072;2.792859;
93.893646;2.792592;
93.918190;2.792430;
93.942764;2.792251;
93.967300;2.792010;
93.991875;2.791833;
94.016418;2.791607;
94.040970;2.791343;
94.065514;2.791099;
94.090088;2.790865;
94.114624;2.790599;
94.139191;2.790417;
94.163742;2.790132;
94.188293;2.789844;
94.212845;2.789610;
94.237381;2.789361;
94.261955;2.789155;
94.286499;2.788900;
94.311073;2.788682;
94.335609;2.788417;
94.360184;2.788203;
94.384705;2.787875;
94.409279;2.787585;
94.433823;2.787330;
94.458374;2.787101;
94.482933;2.786834;
94.507492;2.786642;
94.532059;2.786361;
94.556580;2.786175;
94.581154;2.785867;
94.605690;2.785662;
94.630264;2.785433;
94.654808;2.785251;
94.679382;2.784952;
94.703918;2.784753;
94.728477;2.784487;
94.753014;2.784300;
94.777573;2.784081;
94.802132;2.783914;
94.826683;2.783665;
94.851265;2.783486;
94.875801;2.783338;
94.900345;2.783105;
94.924889;2.782882;
94.949463;2.782723;
94.973999;2.782509;
94.998573;2.782315;
95.023117;2.782182;
95.047691;2.781943;
95.072212;2.781854;
95.096764;2.781703;
95.121330;2.781506;
95.145882;2.781387;
95.170456;2.781118;
95.194992;2.780962;
95.219574;2.780861;
95.244080;2.780715;
95.268654;2.780601;
95.293198;2.780490;
95.317772;2.780351;
95.342308;2.780177;
95.366875;2.780067;
95.391426;2.779968;
95.415962;2.779776;
95.440536;2.779665;
95.465073;2.779538;
95.489655;2.779421;
95.514191;2.779367;
