Piezo Voltage (V),Fine In 1 (V)
87.608017,2.860666
87.632568,2.860245
87.65712,2.85994
87.681679,2.859756
87.706215,2.859534
87.730797,2.859282
87.755333,2.859158
87.779907,2.859029
87.804443,2.858751
87.829025,2.858597
87.853531,2.858379
87.878105,2.858091
87.902649,2.857901
87.9272,2.857681
87.951759,2.857457
87.976318,2.857345
88.000885,2.857021
88.025414,2.856816
88.049988,2.856638
88.074524,2.856422
88.099106,2.856132
88.123642,2.855929
88.148216,2.855685
88.172752,2.855366
88.197304,2.855115
88.22184,2.854871
88.246399,2.854643
88.270958,2.854411
88.295509,2.854134
88.320091,2.853891
88.344627,2.853614
88.369186,2.853317
88.393723,2.853111
88.418297,2.852866
88.442833,2.852514
88.467415,2.852307
88.491951,2.851969
88.516525,2.851679
88.541039,2.851472
88.565605,2.851221
88.590157,2.850896
88.614708,2.850612
88.639282,2.850356
88.663818,2.850002
88.6884,2.849754
88.712914,2.849436
88.737495,2.849274
88.762032,2.848922
88.786606,2.848669
88.811142,2.848397
88.835724,2.848147
88.86026,2.847807
88.884789,2.847505
88.909363,2.847212
88.933899,2.846935
88.958481,2.846658
88.983017,2.846388
89.007591,2.846087
89.032127,2.845788
89.056686,2.845507
89.081223,2.84524
89.105804,2.844976
89.130341,2.844739
89.154907,2.844499
89.179451,2.84423
89.20401,2.843909
89.228561,2.843618
89.253098,2.843363
89.277672,2.843104
89.302208,2.842844
89.32679,2.842609
89.351326,2.842337
89.3759,2.842042
89.400421,2.841736
89.424995,2.841499
89.449532,2.841254
89.474091,2.841065
89.49865,2.840808
89.523209,2.840564
89.547775,2.840401
89.572289,2.840126
89.59687,2.839895
89.621407,2.839684
89.645981,2.839409
89.670517,2.839095
89.695099,2.838956
89.719635,2.838774
89.744194,2.838473
89.76873,2.838319
89.793289,2.838171
89.817841,2.837939
89.8424,2.837715
89.866974,2.837523
89.891518,2.837281
89.916061,2.837021
89.940598,2.836833
89.965179,2.836637
89.989716,2.836422
90.01429,2.836199
90.038826,2.835947
90.063408,2.835799
90.087921,2.835563
90.11248,2.835395
90.137047,2.835237
90.161598,2.835067
90.186172,2.834882
90.210709,2.83464
90.235283,2.8345
90.259796,2.834251
90.28437,2.834053
90.308914,2.833931
90.333488,2.833704
90.358025,2.833496
90.382591,2.833325
90.407143,2.833173
90.431679,2.833057
90.456253,2.832786
90.480789,2.832606
90.505371,2.832424
90.529907,2.832214
90.554482,2.832098
90.579018,2.831854
90.603569,2.831693
90.628105,2.831551
90.652679,2.831333
90.677223,2.831138
90.701775,2.830918
90.726334,2.830728
90.750893,2.830589
90.775452,2.830366
90.799988,2.830133
90.824562,2.829973
90.849098,2.829771
90.87368,2.829544
90.898216,2.829358
90.922791,2.829134
90.947304,2.828933
90.971878,2.828766
90.996414,2.828559
91.020973,2.828298
91.045532,2.828049
91.070084,2.827821
91.094666,2.827635
91.119179,2.827398
91.143761,2.827157
91.168297,2.826928
91.192871,2.826719
91.217407,2.826421
91.241989,2.826197
91.266525,2.825927
91.291069,2.825662
91.315613,2.825427
91.340164,2.825129
91.364731,2.824843
91.389282,2.824663
91.413857,2.824364
91.438393,2.824075
91.462952,2.823841
91.487488,2.823545
91.51207,2.823222
91.536606,2.822914
91.56118,2.82271
91.585716,2.822391
91.610298,2.822102
91.634804,2.82181
91.659363,2.8215
91.683937,2.821269
91.708473,2.820947
91.733055,2.820694
91.757591,2.820384
91.782166,2.82007
91.806686,2.819854
91.831261,2.819534
91.855797,2.819242
91.880379,2.819057
91.904915,2.818725
91.929482,2.81838
91.954025,2.818137
91.978554,2.817858
92.003136,2.817583
92.027672,2.817254
92.052246,2.817021
92.076782,2.816783
92.101364,2.816416
92.1259,2.816134
92.150459,2.815906
92.174995,2.815719
92.19957,2.815466
92.224106,2.815233
92.248665,2.814963
92.273224,2.814697
92.297783,2.814371
92.322327,2.814101
92.346863,2.813865
92.371445,2.81357
92.395981,2.813394
92.420555,2.813152
92.445091,2.812846
92.469673,2.812657
92.494186,2.812411
92.518768,2.812201
92.543304,2.81199
92.567863,2.811746
92.592415,2.811582
92.616974,2.811305
92.641548,2.811142
92.666061,2.81084
92.690636,2.810673
92.715172,2.810426
92.739754,2.810226
92.76429,2.810024
92.788864,2.809813
92.8134,2.809636
92.837959,2.809396
92.862495,2.809197
92.887054,2.809048
92.911621,2.808881
92.936172,2.808771
92.960747,2.808565
92.985283,2.808345
93.009834,2.808217
93.03437,2.808029
93.058945,2.807903
93.083481,2.807622
93.108063,2.807545
93.132599,2.807306
93.157166,2.807191
93.181694,2.806975
93.206253,2.80684
93.230827,2.80666
93.255363,2.806508
93.279938,2.806341
93.304482,2.806094
93.329056,2.805951
93.353561,2.805819
93.378143,2.805718
93.402679,2.805485
93.427254,2.805321
93.45179,2.805151
93.476349,2.805048
93.500908,2.804886
93.525444,2.80466
93.550018,2.804478
93.574562,2.804255
93.599136,2.804095
93.623672,2.803956
93.648247,2.803736
93.672791,2.803552
93.697334,2.803423
93.72187,2.803223
93.746437,2.803058
93.770988,2.802915
93.795547,2.802701
93.820099,2.802424
93.844658,2.802315
93.869217,2.80203
93.893753,2.80182
93.918327,2.801697
93.942871,2.801442
93.967445,2.80128
93.991982,2.801026
94.016556,2.800795
94.041069,2.800592
94.065643,2.800377
94.090179,2.80015
94.114738,2.799915
94.139305,2.799739
94.163857,2.799387
94.188431,2.79921
94.212952,2.798959
94.237526,2.798635
94.262062,2.798399
94.286636,2.798119
94.31118,2.797901
94.335754,2.797583
94.360291,2.797347
94.384842,2.797095
94.409378,2.796876
94.433937,2.796525
94.458511,2.796313
94.483047,2.796002
94.507622,2.795751
94.532166,2.795414
94.556717,2.795146
94.581261,2.794885
94.605835,2.794623
94.630371,2.794269
94.654945,2.794018
94.679489,2.793729
94.704056,2.793506
94.728584,2.793183
94.753128,2.792954
94.777702,2.792631
94.802246,2.792319
94.82682,2.792126
94.851357,2.791793
94.875931,2.791603
94.900452,2.791374
94.925026,2.791114
94.94957,2.790771
94.974136,2.790475
94.99868,2.79022
95.023239,2.789979
95.047798,2.789686
95.072327,2.789378
95.096901,2.789144
95.121437,2.78896
95.146011,2.788696
95.170555,2.788492
95.195129,2.78821
95.219666,2.787972
95.244225,2.787732
95.268761,2.787481
95.29332,2.787244
95.317879,2.78707
95.34243,2.786827
95.366989,2.786528
95.391548,2.786364
95.416092,2.786134
95.440636,2.785899
95.46521,2.785679
95.489746,2.785509
95.51432,2.785272
95.538864,2.785112
95.563438,2.784869
95.587959,2.784678
95.612534,2.784499
95.63707,2.784311
95.661629,2.784106
95.686195,2.783851
95.710739,2.783622
95.735321,2.78351
95.759827,2.783242
95.784401,2.783109
95.808945,2.782933
95.833519,2.782743
95.858055,2.782559
95.882629,2.782372
95.907173,2.782224
95.931717,2.782047
95.956268,2.781829
95.98082,2.781647
96.005402,2.781454
96.029938,2.781253
96.054512,2.781117
96.079048,2.780856
96.1036,2.780803
96.128136,2.780531
96.15271,2.780329
96.177254,2.780192
96.20182,2.779956
96.226364,2.779721
96.250923,2.779563
96.275467,2.779362
96.300018,2.779142
96.324593,2.778903
96.349129,2.778696
96.373711,2.778414
96.398247,2.778231
96.422821,2.778059
96.447334,2.777768
96.471909,2.777508
96.496445,2.777198
96.521004,2.776952
96.545563,2.776697
96.570114,2.776452
96.594673,2.776151
96.619209,2.775815
96.643791,2.775561
96.668327,2.775195
96.692902,2.774815
96.717438,2.774439
96.74202,2.774214
96.766556,2.773761
96.7911,2.773399
96.815643,2.773028
96.840195,2.77256
96.864754,2.772201
96.889313,2.771805
96.913879,2.771345
96.938423,2.770839
96.962982,2.770359
96.987518,2.769852
97.0121,2.769339
97.036636,2.768812
97.061211,2.768237
97.085747,2.767634
97.110329,2.767051
97.134834,2.766423
97.159393,2.765804
97.183952,2.765086
97.208504,2.764361
97.233086,2.763617
97.257622,2.762897
97.282196,2.762115
97.306717,2.761373
97.331291,2.76057
97.355827,2.759645
97.380409,2.758716
97.404945,2.757766
97.42952,2.756803
97.454056,2.755831
97.478584,2.754835
97.503151,2.753647
97.527702,2.752568
97.552277,2.751399
97.576813,2.750182
97.601395,2.748968
97.625931,2.747659
97.65049,2.746306
97.675026,2.744899
97.6996,2.743414
97.724136,2.742008
97.748703,2.740416
97.773254,2.738775
97.797813,2.737168
97.822357,2.735462
97.846893,2.733624
97.871475,2.731813
97.896011,2.729917
97.920586,2.727941
97.945122,2.725917
97.969704,2.723817
97.994217,2.721626
98.018799,2.719397
98.043335,2.717122
98.067894,2.714735
