"Piezo Voltage (V)";"Fine In 1 (V)";
85.728195;2.923485;
85.752708;2.923127;
85.777191;2.922901;
85.801704;2.922724;
85.826195;2.922610;
85.850685;2.922403;
85.875183;2.922238;
85.899704;2.922129;
85.924210;2.921924;
85.948700;2.921830;
85.973198;2.921757;
85.997704;2.921583;
86.022194;2.921410;
86.046692;2.921405;
86.071220;2.921278;
86.095718;2.921213;
86.120209;2.921024;
86.144707;2.920934;
86.169212;2.920874;
86.193703;2.920760;
86.218201;2.920605;
86.242722;2.920535;
86.267227;2.920483;
86.291710;2.920295;
86.316216;2.920194;
86.340721;2.920058;
86.365196;2.919989;
86.389709;2.919875;
86.414230;2.919721;
86.438736;2.919684;
86.463219;2.919560;
86.487724;2.919461;
86.512230;2.919253;
86.536705;2.919185;
86.561218;2.919081;
86.585739;2.918933;
86.610237;2.918853;
86.634727;2.918600;
86.659225;2.918488;
86.683723;2.918410;
86.708214;2.918164;
86.732719;2.918033;
86.757248;2.917845;
86.781746;2.917633;
86.806236;2.917452;
86.830734;2.917246;
86.855232;2.917057;
86.879723;2.916802;
86.904228;2.916627;
86.928757;2.916400;
86.953247;2.916175;
86.977745;2.915943;
87.002243;2.915656;
87.026741;2.915403;
87.051224;2.915180;
87.075737;2.914932;
87.100250;2.914570;
87.124756;2.914259;
87.149246;2.913996;
87.173759;2.913752;
87.198250;2.913456;
87.222733;2.913207;
87.247246;2.912862;
87.271759;2.912549;
87.296249;2.912174;
87.320755;2.911790;
87.345268;2.911460;
87.369759;2.911101;
87.394241;2.910800;
87.418739;2.910417;
87.443268;2.910093;
87.467758;2.909642;
87.492264;2.909267;
87.516769;2.908896;
87.541260;2.908508;
87.565750;2.908157;
87.590248;2.907694;
87.614777;2.907319;
87.639259;2.906951;
87.663773;2.906521;
87.688278;2.906087;
87.712769;2.905645;
87.737259;2.905211;
87.761757;2.904817;
87.786278;2.904338;
87.810768;2.903983;
87.835266;2.903538;
87.859795;2.903147;
87.884277;2.902778;
87.908760;2.902293;
87.933266;2.901888;
87.957787;2.901540;
87.982277;2.900982;
88.006775;2.900569;
88.031303;2.900179;
88.055786;2.899699;
88.080269;2.899384;
88.104774;2.898915;
88.129295;2.898540;
88.153786;2.898112;
88.178284;2.897666;
88.202805;2.897230;
88.227287;2.896862;
88.251778;2.896437;
88.276276;2.896057;
88.300804;2.895572;
88.325287;2.895319;
88.349792;2.894848;
88.374313;2.894364;
88.398796;2.894032;
88.423286;2.893537;
88.447784;2.893200;
88.472313;2.892880;
88.496796;2.892542;
88.521301;2.892152;
88.545822;2.891778;
88.570305;2.891420;
88.594788;2.891110;
88.619293;2.890746;
88.643814;2.890400;
88.668304;2.890066;
88.692802;2.889771;
88.717331;2.889304;
88.741814;2.889063;
88.766296;2.888747;
88.790802;2.888436;
88.815323;2.888070;
88.839813;2.887770;
88.864311;2.887451;
88.888840;2.887169;
88.913322;2.886779;
88.937805;2.886456;
88.962303;2.886236;
88.986832;2.885920;
89.011314;2.885637;
89.035820;2.885370;
89.060341;2.885038;
89.084824;2.884719;
89.109314;2.884385;
89.133812;2.884099;
89.158340;2.883784;
89.182823;2.883535;
89.207329;2.883251;
89.231850;2.882982;
89.256332;2.882673;
89.280823;2.882329;
89.305321;2.882022;
89.329842;2.881724;
89.354332;2.881386;
89.378830;2.881108;
89.403358;2.880788;
89.427841;2.880469;
89.452316;2.880192;
89.476830;2.879946;
89.501350;2.879594;
89.525841;2.879240;
89.550339;2.878926;
89.574867;2.878538;
89.599350;2.878140;
89.623825;2.877780;
89.648338;2.877416;
89.672859;2.876993;
89.697350;2.876712;
89.721848;2.876319;
89.746368;2.875950;
89.770844;2.875511;
89.795334;2.875167;
89.819839;2.874751;
89.844368;2.874382;
89.868843;2.874011;
89.893356;2.873568;
89.917877;2.873115;
89.942352;2.872777;
89.966843;2.872292;
89.991348;2.871850;
90.015877;2.871398;
90.040352;2.870987;
90.064865;2.870600;
90.089386;2.870140;
90.113853;2.869645;
90.138344;2.869130;
90.162857;2.868650;
90.187370;2.868271;
90.211861;2.867874;
90.236366;2.867366;
90.260895;2.866922;
90.285362;2.866427;
90.309853;2.865945;
90.334373;2.865507;
90.358887;2.865051;
90.383377;2.864586;
90.407875;2.864123;
90.432404;2.863634;
90.456863;2.863154;
90.481361;2.862691;
90.505875;2.862182;
90.530396;2.861689;
90.554871;2.861190;
90.579384;2.860801;
90.603905;2.860222;
90.628365;2.859735;
90.652870;2.859235;
90.677383;2.858883;
90.701904;2.858310;
90.726379;2.857883;
90.750893;2.857466;
90.775414;2.856933;
90.799873;2.856519;
90.824379;2.856009;
90.848892;2.855551;
90.873413;2.855144;
90.897888;2.854661;
90.922394;2.854152;
90.946922;2.853708;
90.971382;2.853416;
90.995880;2.852923;
91.020409;2.852519;
91.044907;2.852095;
91.069397;2.851632;
91.093903;2.851266;
91.118431;2.850864;
91.142891;2.850545;
91.167389;2.850031;
91.191917;2.849692;
91.216415;2.849342;
91.240906;2.848994;
91.265411;2.848635;
91.289925;2.848248;
91.314392;2.847948;
91.338898;2.847610;
91.363419;2.847304;
91.387924;2.846942;
91.412407;2.846657;
91.436920;2.846328;
91.461433;2.846067;
91.485901;2.845747;
91.510406;2.845441;
91.534927;2.845183;
91.559425;2.844883;
91.583916;2.844533;
91.608429;2.844406;
91.632942;2.844055;
91.657410;2.843845;
91.681908;2.843475;
91.706436;2.843298;
91.730934;2.843108;
91.755424;2.842874;
91.779922;2.842681;
91.804451;2.842382;
91.828918;2.842116;
91.853416;2.841920;
91.877945;2.841663;
91.902435;2.841489;
91.926933;2.841243;
91.951431;2.841043;
91.975960;2.840727;
92.000427;2.840533;
92.024925;2.840388;
92.049454;2.840047;
92.073944;2.839885;
92.098434;2.839602;
92.122940;2.839437;
92.147461;2.839199;
92.171921;2.838988;
92.196434;2.838696;
92.220955;2.838440;
92.245445;2.838170;
92.269943;2.837903;
92.294464;2.837726;
92.318970;2.837542;
92.343430;2.837255;
92.367943;2.836932;
92.392464;2.836751;
92.416954;2.836467;
92.441452;2.836168;
92.465958;2.835901;
92.490479;2.835576;
92.514938;2.835271;
92.539444;2.835002;
92.563972;2.834665;
92.588448;2.834334;
92.612961;2.834015;
92.637466;2.833653;
92.661987;2.833375;
92.686447;2.833018;
92.710953;2.832687;
92.735481;2.832345;
92.759956;2.832016;
92.784470;2.831629;
92.808990;2.831212;
92.833488;2.830833;
92.857948;2.830449;
92.882462;2.830096;
92.906975;2.829619;
92.931465;2.829308;
92.955971;2.828862;
92.980499;2.828506;
93.004997;2.828023;
93.029457;2.827629;
93.053970;2.827232;
93.078484;2.826857;
93.102974;2.826446;
93.127480;2.825970;
93.152008;2.825526;
93.176506;2.825117;
93.200966;2.824744;
93.225464;2.824399;
93.249992;2.823889;
93.274475;2.823440;
93.298988;2.823034;
93.323502;2.822658;
93.348015;2.822208;
93.372475;2.821800;
93.396973;2.821453;
93.421501;2.820981;
93.445984;2.820586;
93.470497;2.820237;
93.495010;2.819933;
93.519516;2.819406;
93.543983;2.819017;
93.568481;2.818699;
93.593010;2.818277;
93.617493;2.817955;
93.641991;2.817578;
93.666519;2.817245;
93.691025;2.816817;
93.715485;2.816563;
93.739990;2.816258;
93.764511;2.815945;
93.789001;2.815623;
93.813499;2.815369;
93.838028;2.815158;
93.862518;2.814815;
93.886993;2.814613;
93.911499;2.814411;
93.936020;2.814167;
93.960510;2.814042;
93.985008;2.813861;
94.009529;2.813550;
94.034027;2.813440;
94.058502;2.813274;
94.083008;2.813123;
94.107529;2.813006;
94.132011;2.812872;
94.156517;2.812817;
94.181038;2.812625;
94.205528;2.812547;
94.230011;2.812522;
94.254517;2.812433;
94.279037;2.812380;
94.303520;2.812282;
94.328026;2.812258;
94.352547;2.812226;
94.377037;2.812180;
94.401512;2.812140;
94.426025;2.812168;
94.450539;2.812120;
94.475029;2.812222;
94.499527;2.812219;
94.524055;2.812315;
94.548538;2.812338;
94.573021;2.812325;
94.597534;2.812373;
94.622047;2.812439;
94.646538;2.812503;
94.671036;2.812491;
94.695564;2.812631;
94.720047;2.812638;
94.744530;2.812691;
94.769058;2.812784;
94.793556;2.812834;
94.818039;2.812912;
94.842545;2.812912;
94.867065;2.812942;
94.891556;2.812980;
94.916039;2.813095;
94.940552;2.813135;
94.965065;2.813073;
94.989548;2.813091;
95.014053;2.813076;
95.038574;2.813070;
95.063065;2.813058;
95.087547;2.813016;
95.112061;2.813033;
95.136574;2.813024;
95.161057;2.812962;
95.185555;2.812923;
95.210083;2.812835;
95.234566;2.812718;
95.259041;2.812608;
95.283569;2.812540;
95.308075;2.812434;
95.332565;2.812272;
95.357063;2.812050;
95.381592;2.811935;
95.406075;2.811830;
95.430550;2.811638;
95.455078;2.811438;
95.479584;2.811218;
95.504074;2.811015;
95.528572;2.810784;
95.553101;2.810512;
95.577583;2.810335;
95.602058;2.810037;
95.626579;2.809742;
95.651093;2.809514;
95.675568;2.809164;
95.700081;2.808856;
95.724602;2.808648;
95.749092;2.808184;
95.773567;2.807826;
95.798088;2.807528;
95.822601;2.807178;
95.847076;2.806899;
95.871590;2.806464;
95.896111;2.806014;
95.920601;2.805701;
95.945076;2.805362;
95.969597;2.804909;
95.994095;2.804512;
96.018585;2.804084;
96.043091;2.803612;
96.067619;2.803221;
96.092094;2.802783;
96.116577;2.802305;
96.141106;2.801860;
96.165604;2.801382;
96.190094;2.800939;
96.214600;2.800543;
96.239128;2.800107;
96.263603;2.799699;
96.288086;2.799242;
96.312614;2.798783;
96.337112;2.798244;
96.361595;2.797885;
96.386108;2.797364;
96.410622;2.796956;
96.435112;2.796529;
96.459595;2.796079;
96.484116;2.795637;
96.508621;2.795144;
96.533104;2.794777;
96.557617;2.794369;
96.582130;2.793886;
96.606621;2.793522;
96.631104;2.793069;
96.655624;2.792635;
96.680122;2.792284;
96.704613;2.791837;
96.729111;2.791454;
96.753639;2.791055;
96.778122;2.790687;
96.802605;2.790214;
96.827133;2.789863;
96.851631;2.789580;
96.876122;2.789255;
96.900620;2.788823;
96.925148;2.788477;
96.949631;2.788171;
96.974113;2.787836;
96.998642;2.787492;
97.023132;2.787137;
97.047630;2.786863;
97.072128;2.786541;
97.096657;2.786273;
97.121140;2.785904;
97.145622;2.785639;
97.170143;2.785400;
97.194633;2.785125;
97.219131;2.784854;
97.243652;2.784622;
97.268158;2.784299;
97.292648;2.784042;
97.317131;2.783870;
97.341652;2.783572;
97.366142;2.783255;
97.390640;2.782957;
97.415161;2.782768;
97.439667;2.782516;
97.464157;2.782226;
97.488640;2.781980;
97.513161;2.781763;
97.537636;2.781441;
97.562149;2.781235;
97.586655;2.781013;
97.611176;2.780751;
97.635658;2.780484;
97.660141;2.780197;
97.684669;2.779910;
97.709145;2.779577;
97.733658;2.779311;
97.758163;2.779062;
97.782684;2.778762;
97.807167;2.778465;
97.831650;2.778163;
97.856178;2.777791;
97.880653;2.777511;
97.905159;2.777139;
97.929688;2.776809;
97.954185;2.776433;
97.978676;2.776078;
98.003159;2.775729;
98.027672;2.775307;
98.052162;2.774970;
98.076668;2.774557;
98.101196;2.774082;
98.125694;2.773705;
98.150185;2.773337;
98.178986;2.772792;
98.199181;2.772341;
98.223671;2.771898;
98.248177;2.771454;
98.272705;2.770927;
98.297203;2.770391;
98.321686;2.769902;
98.346161;2.769473;
98.370689;2.769007;
