"Piezo Voltage (V)";"Fine In 1 (V)";
80.118767;2.602394;
80.157982;2.601971;
80.197189;2.601465;
80.236404;2.601216;
80.275604;2.600935;
80.314812;2.600588;
80.354027;2.600323;
80.393196;2.600059;
80.432426;2.599684;
80.471619;2.599344;
80.510834;2.599075;
80.550034;2.598713;
80.589249;2.598409;
80.628456;2.598104;
80.667633;2.597744;
80.706841;2.597307;
80.746048;2.596934;
80.785263;2.596480;
80.824463;2.596112;
80.863678;2.595686;
80.902885;2.595248;
80.942070;2.594787;
80.981270;2.594349;
81.020485;2.593865;
81.059692;2.593457;
81.098892;2.593030;
81.138107;2.592512;
81.177315;2.592055;
81.216492;2.591609;
81.255699;2.591087;
81.294914;2.590638;
81.334122;2.590181;
81.373337;2.589599;
81.412537;2.589171;
81.451752;2.588731;
81.490921;2.588158;
81.530136;2.587701;
81.569344;2.587211;
81.608551;2.586735;
81.647766;2.586320;
81.686966;2.585842;
81.726181;2.585313;
81.765350;2.584852;
81.804565;2.584427;
81.843773;2.583929;
81.882988;2.583547;
81.922195;2.583108;
81.961395;2.582667;
82.000610;2.582290;
82.039780;2.581873;
82.078995;2.581406;
82.118202;2.581069;
82.157417;2.580639;
82.196625;2.580291;
82.235840;2.579911;
82.275040;2.579594;
82.314209;2.579206;
82.353432;2.578914;
82.392632;2.578560;
82.431847;2.578216;
82.471054;2.577989;
82.510269;2.577665;
82.549469;2.577334;
82.588646;2.577067;
82.627853;2.576869;
82.667068;2.576583;
82.706276;2.576339;
82.745483;2.576074;
82.784698;2.575783;
82.823898;2.575549;
82.863098;2.575333;
82.902283;2.575089;
82.941498;2.574867;
82.980705;2.574646;
83.019920;2.574347;
83.059128;2.574123;
83.098328;2.573820;
83.137505;2.573592;
83.176712;2.573400;
83.215927;2.573068;
83.255135;2.572821;
83.294350;2.572547;
83.333557;2.572313;
83.372772;2.571959;
83.411934;2.571627;
83.451149;2.571372;
83.490356;2.570990;
83.529572;2.570671;
83.568779;2.570411;
83.607986;2.570025;
83.647202;2.569640;
83.686363;2.569261;
83.725578;2.568891;
83.764786;2.568449;
83.804001;2.568037;
83.843208;2.567653;
83.882423;2.567169;
83.921631;2.566752;
83.960793;2.566284;
84.000008;2.565784;
84.039215;2.565406;
84.078430;2.564863;
84.117638;2.564331;
84.156853;2.563869;
84.196060;2.563411;
84.235237;2.562892;
84.274437;2.562368;
84.313644;2.562007;
84.352859;2.561400;
84.392067;2.560838;
84.431282;2.560363;
84.470490;2.559818;
84.509666;2.559391;
84.548866;2.558819;
84.588081;2.558414;
84.627289;2.557866;
84.666504;2.557372;
84.705711;2.556959;
84.744919;2.556422;
84.784111;2.556005;
84.823296;2.555542;
84.862511;2.555140;
84.901718;2.554688;
84.940933;2.554295;
84.980141;2.553889;
85.019356;2.553470;
85.058525;2.553106;
85.097740;2.552679;
85.136940;2.552288;
85.176147;2.552043;
85.215363;2.551648;
85.254570;2.551306;
85.293785;2.551040;
85.332954;2.550738;
85.372177;2.550384;
85.411369;2.550132;
85.450584;2.549841;
85.489792;2.549576;
85.528999;2.549289;
85.568214;2.548954;
85.607384;2.548747;
85.646599;2.548470;
85.685799;2.548264;
85.725014;2.547957;
85.764221;2.547769;
85.803436;2.547523;
85.842644;2.547313;
85.881821;2.547028;
85.921028;2.546755;
85.960228;2.546495;
85.999443;2.546293;
86.038651;2.546012;
86.077866;2.545759;
86.117073;2.545543;
86.156250;2.545239;
86.195457;2.544874;
86.234673;2.544633;
86.273872;2.544301;
86.313087;2.544011;
86.352295;2.543621;
86.391502;2.543322;
86.430679;2.543020;
86.469887;2.542644;
86.509102;2.542204;
86.548302;2.541774;
86.587517;2.541398;
86.626724;2.540999;
86.665939;2.540534;
86.705124;2.540075;
86.744316;2.539667;
86.783531;2.539165;
86.822731;2.538704;
86.861946;2.538197;
86.901154;2.537690;
86.940369;2.537191;
86.979538;2.536681;
87.018753;2.536116;
87.057961;2.535650;
87.097176;2.535100;
87.136375;2.534627;
87.175583;2.534092;
87.214798;2.533607;
87.253967;2.533088;
87.293198;2.532593;
87.332390;2.532089;
87.371605;2.531550;
87.410805;2.531053;
87.450020;2.530574;
87.489227;2.530132;
87.528404;2.529620;
87.567612;2.529172;
87.606819;2.528648;
87.646034;2.528247;
87.685234;2.527776;
87.724449;2.527394;
87.763657;2.527004;
87.802834;2.526555;
87.842041;2.526151;
87.881256;2.525784;
87.920464;2.525359;
87.959679;2.525008;
87.998878;2.524678;
88.038086;2.524278;
88.077263;2.523939;
88.116470;2.523653;
88.155685;2.523348;
88.194893;2.523000;
88.234108;2.522753;
88.273308;2.522426;
88.312523;2.522210;
88.351692;2.521882;
88.390900;2.521629;
88.430115;2.521379;
88.469322;2.521190;
88.508537;2.520902;
88.547737;2.520609;
88.586952;2.520388;
88.626129;2.520137;
88.665337;2.519915;
88.704544;2.519567;
88.743752;2.519291;
88.782967;2.519076;
88.822166;2.518793;
88.861382;2.518522;
88.900551;2.518229;
88.939766;2.517940;
88.978973;2.517625;
89.018188;2.517275;
89.057396;2.516930;
89.096611;2.516533;
89.135811;2.516234;
89.174980;2.515888;
89.214218;2.515448;
89.253403;2.514999;
89.292618;2.514678;
89.331825;2.514207;
89.371040;2.513730;
89.410240;2.513268;
89.449417;2.512804;
89.488625;2.512288;
89.527840;2.511813;
89.567047;2.511316;
89.606255;2.510793;
89.645470;2.510228;
89.684669;2.509750;
89.723846;2.509210;
89.763054;2.508658;
89.802269;2.508084;
89.841476;2.507541;
89.880692;2.507059;
89.919899;2.506521;
89.959099;2.505958;
89.998276;2.505419;
90.037483;2.504845;
90.076698;2.504319;
90.115906;2.503793;
90.155121;2.503250;
90.194328;2.502704;
90.233543;2.502166;
90.272705;2.501697;
90.311928;2.501229;
90.351128;2.500685;
90.390335;2.500244;
90.429550;2.499745;
90.468758;2.499246;
90.507973;2.498783;
90.547142;2.498391;
90.586357;2.497925;
90.625557;2.497556;
90.664772;2.497135;
90.703979;2.496764;
90.743195;2.496387;
90.782402;2.495951;
90.821571;2.495639;
90.860786;2.495278;
90.899986;2.494956;
90.939201;2.494559;
90.978409;2.494195;
91.017624;2.493910;
91.056831;2.493613;
91.096008;2.493293;
91.135231;2.492969;
91.174416;2.492684;
91.213631;2.492339;
91.252838;2.491964;
91.292053;2.491731;
91.331261;2.491444;
91.370438;2.491123;
91.409645;2.490803;
91.448860;2.490436;
91.488060;2.490048;
91.527275;2.489709;
91.566483;2.489321;
91.605690;2.488976;
91.644875;2.488589;
91.684074;2.488110;
91.723289;2.487736;
91.762489;2.487281;
91.801704;2.486837;
91.840912;2.486332;
91.880127;2.485851;
91.919296;2.485335;
91.958511;2.484844;
91.997719;2.484278;
92.036919;2.483672;
92.076134;2.483120;
92.115341;2.482584;
92.154556;2.482017;
92.193726;2.481406;
92.232941;2.480804;
92.272148;2.480234;
92.311363;2.479638;
92.350563;2.478981;
92.389778;2.478336;
92.428986;2.477636;
92.468155;2.476938;
92.507370;2.476299;
92.546577;2.475675;
92.585793;2.475076;
92.624992;2.474431;
92.664207;2.473783;
92.703415;2.473158;
92.742592;2.472547;
92.781799;2.471883;
92.821007;2.471326;
92.860222;2.470717;
92.899422;2.470121;
92.938637;2.469537;
92.977844;2.468971;
93.017021;2.468429;
93.056236;2.467907;
93.095444;2.467390;
93.134651;2.466851;
93.173866;2.466372;
93.213066;2.465848;
93.252274;2.465392;
93.291451;2.464962;
93.330658;2.464536;
93.369873;2.464132;
93.409081;2.463743;
93.448296;2.463293;
93.487495;2.462980;
93.526711;2.462604;
93.565903;2.462242;
93.605087;2.461939;
93.644302;2.461514;
93.683510;2.461211;
93.722725;2.460888;
93.761925;2.460525;
93.801140;2.460155;
93.840309;2.459904;
93.879524;2.459564;
93.918732;2.459254;
93.957947;2.458981;
93.997154;2.458677;
94.036354;2.458285;
94.075569;2.458018;
94.114738;2.457713;
94.153954;2.457361;
94.193161;2.457022;
94.232376;2.456563;
94.271584;2.456227;
94.310799;2.455804;
94.349998;2.455431;
94.389175;2.455054;
94.428383;2.454596;
94.467590;2.454180;
94.506805;2.453669;
94.546013;2.453208;
94.585228;2.452711;
94.624428;2.452158;
94.663605;2.451632;
94.702812;2.451116;
94.742027;2.450588;
94.781235;2.449998;
94.820442;2.449397;
94.859657;2.448785;
94.898857;2.448299;
94.938034;2.447606;
94.977242;2.446929;
95.016457;2.446338;
95.055664;2.445764;
95.094879;2.445102;
95.134087;2.444515;
95.173302;2.443934;
95.212463;2.443263;
95.251671;2.442675;
95.290886;2.442063;
95.330093;2.441492;
95.369308;2.440930;
95.408516;2.440331;
95.447731;2.439725;
95.486916;2.439218;
95.526108;2.438644;
95.565315;2.438106;
95.604523;2.437573;
95.643738;2.437019;
95.682945;2.436546;
95.722160;2.436129;
95.761322;2.435677;
95.800537;2.435251;
95.839745;2.434808;
95.878960;2.434415;
95.918167;2.433984;
95.957382;2.433629;
95.996590;2.433223;
96.035751;2.432844;
96.074982;2.432603;
96.114174;2.432266;
96.153389;2.431971;
96.192596;2.431750;
96.231812;2.431479;
96.271019;2.431127;
96.310196;2.430949;
96.349396;2.430583;
96.388611;2.430298;
96.427818;2.430112;
96.467026;2.429871;
96.506241;2.429597;
96.545448;2.429433;
96.584625;2.429111;
96.623825;2.428827;
96.663040;2.428511;
96.702248;2.428307;
96.741463;2.428035;
96.780670;2.427702;
96.819885;2.427412;
96.859055;2.427065;
96.898254;2.426753;
96.937469;2.426353;
96.976677;2.425995;
97.015892;2.425637;
97.055099;2.425184;
97.094315;2.424828;
97.133484;2.424385;
97.172699;2.423910;
97.211899;2.423435;
97.251106;2.422929;
97.290321;2.422395;
97.329529;2.421968;
97.368744;2.421469;
97.407928;2.420882;
97.447128;2.420385;
97.486328;2.419793;
97.525543;2.419321;
97.564751;2.418722;
97.603966;2.418182;
97.643173;2.417603;
97.682343;2.417042;
97.721558;2.416469;
97.760757;2.415864;
97.799973;2.415308;
97.839180;2.414730;
97.878395;2.414177;
97.917603;2.413655;
97.956779;2.413154;
97.996002;2.412637;
98.035187;2.412147;
98.074402;2.411683;
98.113609;2.411134;
98.152824;2.410688;
98.192032;2.410277;
98.231209;2.409816;
98.270416;2.409400;
98.309631;2.409053;
98.348831;2.408587;
98.388046;2.408227;
98.427254;2.407877;
98.466461;2.407469;
98.505638;2.407269;
98.544846;2.406929;
98.584061;2.406586;
98.623260;2.406315;
98.662476;2.406016;
98.701683;2.405762;
98.740898;2.405510;
98.780067;2.405231;
98.819283;2.404954;
98.858490;2.404660;
98.897690;2.404460;
98.936905;2.404203;
98.976112;2.403927;
99.015327;2.403738;
99.054497;2.403487;
99.093712;2.403272;
99.132919;2.402970;
99.172134;2.402714;
99.211334;2.402378;
99.250542;2.402102;
99.289757;2.401744;
99.328934;2.401396;
99.368141;2.401163;
99.407349;2.400743;
99.446564;2.400337;
99.485764;2.399940;
99.524979;2.399479;
99.564186;2.399051;
99.603363;2.398609;
99.642570;2.398105;
99.681778;2.397599;
99.720993;2.397070;
99.760193;2.396650;
99.799408;2.396019;
99.838615;2.395424;
99.877792;2.394881;
99.917015;2.394296;
99.956215;2.393781;
99.995422;2.393099;
100.041580;2.392532;
100.073837;2.391927;
100.113045;2.391290;
100.152222;2.390712;
100.191429;2.390086;
100.230644;2.389462;
100.269852;2.388813;
100.309067;2.388191;
100.348267;2.387641;
100.387482;2.386976;
100.426651;2.386378;
100.465858;2.385778;
100.505074;2.385244;
100.544281;2.384747;
100.583496;2.384125;
100.622696;2.383535;
100.661911;2.383024;
100.701080;2.382528;
100.740295;2.381981;
100.779503;2.381412;
100.818718;2.380934;
100.857925;2.380480;
100.897125;2.380003;
100.936340;2.379491;
100.975510;2.379084;
101.014725;2.378631;
101.053932;2.378218;
101.093147;2.377826;
101.132355;2.377438;
101.171570;2.376990;
101.210770;2.376514;
101.249962;2.376122;
101.289154;2.375641;
101.328362;2.375279;
101.367577;2.374843;
101.406784;2.374403;
101.445999;2.373871;
101.485199;2.373407;
101.524376;2.372908;
101.563583;2.372335;
101.602798;2.371801;
101.642006;2.371279;
101.681213;2.370652;
101.720428;2.370048;
101.759628;2.369365;
101.798805;2.368773;
101.838036;2.368025;
101.877228;2.367310;
101.916435;2.366698;
101.955650;2.365900;
101.994858;2.365125;
102.034073;2.364301;
102.073235;2.363499;
102.112442;2.362623;
102.151657;2.361788;
102.190865;2.360884;
102.230080;2.360004;
102.269287;2.359160;
102.308502;2.358297;
102.347679;2.357380;
102.386879;2.356429;
102.426086;2.355474;
102.465294;2.354577;
102.504509;2.353741;
102.543716;2.352835;
102.582932;2.351909;
102.622093;2.351060;
102.661308;2.350192;
102.700516;2.349361;
102.739731;2.348520;
102.778938;2.347742;
102.818153;2.346918;
102.857361;2.346222;
102.896523;2.345487;
102.935738;2.344733;
102.974945;2.344110;
103.014160;2.343439;
103.053368;2.342750;
103.092583;2.342240;
103.131790;2.341684;
103.170975;2.341168;
103.210167;2.340653;
103.249382;2.340216;
103.288589;2.339804;
103.327797;2.339310;
103.367012;2.338974;
103.406219;2.338608;
103.445396;2.338319;
103.484596;2.338031;
103.523811;2.337793;
103.563019;2.337521;
103.602234;2.337297;
103.641441;2.337002;
103.680649;2.336874;
103.719826;2.336663;
103.759048;2.336481;
103.798241;2.336255;
103.837448;2.336182;
103.876663;2.335923;
103.915871;2.335794;
103.955086;2.335645;
103.994255;2.335394;
104.033470;2.335239;
104.072670;2.335066;
104.111877;2.334805;
104.151093;2.334668;
104.190300;2.334372;
104.229515;2.334115;
104.268700;2.333915;
104.307899;2.333570;
104.347099;2.333170;
104.386314;2.332872;
104.425522;2.332539;
104.464737;2.332130;
104.503944;2.331810;
104.543114;2.331425;
104.582329;2.330974;
104.621529;2.330555;
104.660744;2.330116;
104.699951;2.329644;
104.739166;2.329152;
104.778374;2.328734;
104.817551;2.328287;
104.856758;2.327752;
104.895958;2.327345;
104.935173;2.326851;
