"Piezo Voltage (V)";"Fine In 1 (V)";
80.118736;2.762947;
80.157944;2.762490;
80.197151;2.762022;
80.236366;2.761668;
80.275566;2.761281;
80.314774;2.760903;
80.353951;2.760584;
80.393158;2.760263;
80.432373;2.759804;
80.471581;2.759418;
80.510796;2.759143;
80.549995;2.758702;
80.589211;2.758207;
80.628380;2.757857;
80.667595;2.757357;
80.706802;2.756981;
80.746010;2.756556;
80.785225;2.756081;
80.824425;2.755663;
80.863640;2.755249;
80.902809;2.754751;
80.942032;2.754299;
80.981232;2.753900;
81.020447;2.753402;
81.059654;2.752976;
81.098854;2.752538;
81.138069;2.752066;
81.177238;2.751583;
81.216454;2.751129;
81.255661;2.750736;
81.294876;2.750300;
81.334084;2.749861;
81.373299;2.749418;
81.412498;2.748973;
81.451698;2.748578;
81.490883;2.748148;
81.530090;2.747775;
81.569305;2.747340;
81.608513;2.746928;
81.647728;2.746593;
81.686928;2.746181;
81.726105;2.745924;
81.765312;2.745538;
81.804527;2.745223;
81.843735;2.744865;
81.882950;2.744522;
81.922157;2.744271;
81.961357;2.743901;
82.000534;2.743602;
82.039764;2.743344;
82.078957;2.743128;
82.118164;2.742911;
82.157379;2.742558;
82.196587;2.742351;
82.235802;2.742045;
82.274963;2.741827;
82.314171;2.741667;
82.353386;2.741391;
82.392593;2.741164;
82.431808;2.740891;
82.471016;2.740685;
82.510231;2.740489;
82.549393;2.740335;
82.588608;2.740073;
82.627815;2.739876;
82.667030;2.739607;
82.706238;2.739434;
82.745445;2.739236;
82.784660;2.739016;
82.823822;2.738775;
82.863037;2.738488;
82.902245;2.738261;
82.941460;2.737913;
82.980667;2.737695;
83.019882;2.737342;
83.059090;2.737050;
83.098267;2.736760;
83.137466;2.736428;
83.176674;2.736101;
83.215889;2.735737;
83.255096;2.735360;
83.294312;2.735079;
83.333519;2.734699;
83.372711;2.734251;
83.411896;2.733868;
83.451111;2.733391;
83.490318;2.732983;
83.529526;2.732599;
83.568741;2.732176;
83.607948;2.731646;
83.647125;2.731159;
83.686325;2.730682;
83.725540;2.730193;
83.764748;2.729640;
83.803963;2.729159;
